word,1,2,3
ashes,18,114,127
ashet,25,172,132
aside,18,207,133
asked,31,166,115
asker,25,163,117
askew,41,305,160
askoi,28,390,176
askos,23,293,169
aspen,24,148,132
asper,20,131,102
aspic,32,231,133
aspie,21,238,137
aspis,20,201,135
aspro,22,225,133
assai,9,259,141
assam,18,251,141
assay,15,316,146
asses,3,158,95
asset,10,216,130
assez,25,361,144
assot,12,288,155
aster,14,38,44
astir,18,163,109
astun,26,187,117
asura,17,183,148
asway,35,351,165
aswim,41,368,179
asyla,21,314,192
ataps,24,204,137
ataxy,46,438,169
atigi,35,367,175
atilt,27,290,146
atimy,39,355,169
atlas,17,265,151
atman,33,287,153
atmas,25,289,153
atmos,26,340,180
atocs,24,405,176
atoke,31,236,128
atoks,30,241,161
atoll,24,191,135
atoms,26,279,166
atomy,37,324,170
atone,21,111,96
atony,31,238,138
atopy,36,311,159
atria,20,257,143
atrip,31,285,146
attap,31,259,146
attar,22,184,129
attic,33,294,151
atuas,20,330,186
audad,33,390,176
audio,29,474,170
audit,33,354,166
auger,32,296,149
aught,49,589,153
augur,40,390,180
aulas,19,176,111
aulic,34,246,148
auloi,25,302,165
aulos,20,205,144
aumil,36,270,166
aunes,20,146,113
aunts,26,215,98
aunty,37,285,127
aurae,18,273,134
aural,23,126,117
aurar,21,120,134
auras,17,127,99
aurei,21,242,120
aures,16,116,71
auric,32,188,126
auris,20,158,110
aurum,38,271,140
autos,21,246,164
auxin,48,494,195
avail,36,329,146
avale,32,261,115
avant,40,322,120
avast,32,267,111
avels,30,227,92
avens,32,220,67
avers,28,216,38
avert,35,267,72
avgas,41,411,180
avian,38,351,165
avine,37,259,99
avion,39,415,165
avise,29,273,132
aviso,31,342,158
avize,51,523,157
avoid,41,469,172
avows,46,501,158
avyze,57,652,197
await,36,277,147
awake,43,325,122
award,38,321,114
aware,29,185,89
awarn,36,330,132
awash,39,242,136
awato,34,255,158
awave,46,333,117
aways,35,445,145
awdls,38,581,197
aweel,30,253,126
aweto,33,294,165
awful,56,565,198
awing,51,279,103
awmry,51,668,199
awned,41,308,135
awner,35,305,139
awoke,44,427,147
awols,31,357,175
awork,47,436,170
axels,33,387,154
axial,39,481,176
axile,38,407,132
axils,37,446,155
axing,55,427,122
axiom,48,623,188
axion,42,544,176
axite,39,421,143
axled,43,409,150
axles,33,405,137
axman,50,428,155
axmen,49,444,167
axoid,44,578,180
axone,38,421,135
axons,37,450,152
ayahs,30,572,178
ayaya,28,496,120
ayelp,33,447,167
aygre,34,449,180
ayins,26,363,144
ayont,31,361,171
ayres,18,299,116
ayrie,23,378,154
azans,34,377,135
azide,40,422,141
azido,42,462,177
azine,38,354,117
azlon,41,408,172
azoic,44,500,182
azole,34,372,139
azons,35,385,140
azote,35,394,148
azoth,49,448,169
azuki,56,659,196
azure,38,389,155
azurn,45,534,177
azury,48,503,190
azygy,62,706,195
azyme,50,570,185
azyms,49,650,193
baaed,32,408,191
baals,27,306,149
babas,38,213,131
babel,43,231,154
babes,37,206,142
babka,56,474,192
baboo,42,227,146
babul,51,323,175
babus,45,289,161
bacca,45,377,177
bacco,46,368,180
baccy,54,519,181
bacha,48,182,108
bachs,46,315,147
backs,49,259,83
bacon,42,183,151
baddy,50,420,153
badge,46,372,162
badly,46,418,190
baels,26,282,174
baffs,57,477,134
baffy,68,539,161
bafts,45,400,171
bagel,42,235,151
baggy,62,456,149
baghs,50,474,186
bagie,41,335,172
bahts,41,424,198
bahus,43,380,182
bahut,50,433,183
bails,30,188,128
bairn,36,312,151
baisa,26,194,172
baith,46,217,148
baits,31,167,131
baiza,48,460,185
baize,47,394,168
bajan,52,422,190
bajra,48,486,195
bajri,51,500,197
bajus,51,482,192
baked,48,202,95
baken,46,216,125
baker,42,199,97
bakes,38,198,89
bakra,43,365,181
balas,27,81,93
balds,35,288,148
baldy,46,339,163
baled,36,75,80
baler,30,72,100
bales,26,71,67
balks,43,288,149
balky,54,355,158
balls,31,184,80
bally,42,223,96
balms,39,360,147
balmy,50,405,152
baloo,31,111,122
balsa,27,174,135
balti,37,285,160
balun,42,186,150
balus,34,182,145
bambi,55,336,166
banak,47,215,141
banal,35,118,129
banco,42,246,151
bancs,39,406,156
banda,39,256,134
bandh,52,361,140
bands,37,221,101
bandy,48,272,122
baned,38,84,92
banes,28,80,73
bangs,43,231,67
bania,34,265,150
banjo,53,452,172
banks,45,212,92
banns,35,256,147
bants,34,149,73
bantu,43,254,119
banty,45,219,102
banya,40,347,169
bapus,41,284,185
barbe,41,296,143
barbs,40,390,136
barby,51,408,141
barca,37,297,144
barde,34,219,115
bardo,36,259,116
bards,33,262,91
bardy,44,313,107
bared,34,62,33
barer,28,59,66
bares,24,58,29
barfi,47,383,153
barfs,42,393,146
barge,40,290,119
baric,40,130,103
barks,41,253,92
barky,52,320,119
barms,37,335,118
barmy,48,380,135
barns,31,252,109
barny,42,350,132
baron,34,83,96
barps,36,326,135
barra,29,192,115
barre,28,190,120
barro,30,199,123
barry,38,304,103
barye,35,294,136
basal,27,134,123
basan,29,133,138
based,30,80,87
basen,28,94,98
baser,24,77,78
bases,20,76,67
basho,37,158,95
basic,36,222,146
basij,47,388,152
basil,30,201,137
basin,32,172,134
basis,24,192,143
basks,37,220,126
bason,30,161,141
basse,20,211,104
bassi,24,301,122
basso,22,280,118
bassy,30,334,104
basta,28,100,63
baste,27,90,62
basti,31,156,78
basto,29,121,58
basts,26,94,59
batch,53,297,140
bated,37,101,87
bates,27,97,68
bathe,42,203,121
baths,41,316,141
batik,49,300,166
baton,37,144,139
batta,35,235,148
batts,33,229,143
battu,42,334,162
batty,44,299,130
bauds,38,342,166
bauks,46,361,181
baulk,52,391,158
baurs,32,228,139
bavin,53,292,163
bawds,49,442,187
bawdy,60,493,188
bawks,57,413,174
bawls,45,402,170
bawns,47,386,162
bawrs,43,413,192
bawty,57,454,191
bayed,41,287,154
bayer,35,284,142
bayes,31,283,166
bayle,37,328,167
bayou,42,380,179
bayts,37,378,194
bazar,47,376,183
bazoo,47,401,176
beach,47,182,137
beads,30,219,123
beady,41,270,146
beaks,38,235,149
beaky,49,302,154
beals,26,142,100
beams,34,237,132
beamy,45,282,153
beano,31,181,136
beans,28,141,99
beany,39,239,148
beard,34,226,80
beare,25,90,55
bears,24,149,64
beast,27,109,96
beath,42,183,118
beats,27,133,98
beaty,38,203,137
beaus,29,207,166
beaut,36,260,162
beaux,53,383,175
bebop,51,366,191
becap,45,317,163
becke,49,318,167
becks,48,323,114
bedad,40,228,165
bedel,35,109,138
bedes,29,84,112
bedew,49,227,150
bedim,47,237,161
bedye,40,300,170
beech,46,250,172
beedi,34,182,145
beefs,38,400,179
beefy,49,462,186
beeps,32,302,152
beers,23,154,107
beery,34,209,148
beets,26,166,152
befit,49,400,188
befog,56,498,193
begad,46,343,171
began,44,284,157
begar,40,279,162
begat,43,308,172
begem,49,381,178
beget,42,339,179
begin,47,349,176
begot,44,359,173
begum,57,425,174
begun,51,389,177
beige,40,376,184
beigy,50,455,188
being,47,246,112
beins,31,236,135
bekah,53,490,194
belah,41,250,150
belar,30,93,117
belay,37,199,137
belch,51,305,162
belee,26,126,126
belga,42,354,172
belie,30,177,134
belle,31,164,122
bells,30,203,74
belly,41,242,90
belon,35,118,135
below,47,167,135
belts,31,242,126
bemad,44,245,175
bemas,34,188,136
bemix,61,410,175
bemud,51,412,188
bench,53,242,152
bends,36,234,113
bendy,47,285,134
benes,27,93,100
benet,34,151,146
benga,44,193,152
benis,31,193,152
benne,35,240,153
benni,39,314,164
benny,45,367,134
bento,36,189,122
bents,33,162,86
benty,44,232,115
bepat,40,266,176
beray,35,169,134
beres,23,59,68
beret,30,117,115
bergs,38,338,160
berko,43,353,157
berks,40,254,116
berme,37,256,150
berms,36,336,136
berob,42,201,143
berry,37,305,126
berth,44,236,138
beryl,39,330,156
besat,27,150,148
besaw,40,224,152
besee,20,105,129
beses,19,69,94
beset,26,127,129
besit,30,205,145
besom,35,233,155
besot,28,199,157
besti,30,149,81
bests,25,87,62
betas,27,145,140
beted,36,130,130
betel,32,151,150
betes,26,126,111
beths,40,345,151
betid,40,261,173
beton,36,173,148
betta,34,264,160
betty,43,328,142
bevel,46,279,133
bever,44,255,108
bevor,46,394,187
bevue,49,565,194
bevvy,71,637,190
bewet,46,343,170
bewig,59,437,187
bezel,47,392,182
bezes,41,367,158
bezil,51,475,191
bezzy,73,650,180
bhais,39,326,164
bhaji,62,637,190
bhang,58,315,106
bhats,41,297,138
bhels,39,343,156
bhoot,45,349,136
bhuna,51,439,177
bhuts,48,455,163
biach,51,310,152
biali,35,255,148
bialy,41,309,172
bibbs,56,609,188
bibes,40,335,144
bible,46,413,164
biccy,57,548,189
bicep,48,382,166
bices,35,244,141
biddy,53,472,151
bided,43,200,117
bider,37,197,97
bides,33,196,95
bidet,40,254,135
bidis,37,284,161
bidon,43,252,158
bield,39,349,166
biers,27,228,114
biffo,63,525,170
biffs,60,516,136
biffy,71,578,163
bifid,56,445,193
bigae,41,448,179
biggs,54,511,171
biggy,65,543,155
bigha,55,428,162
bight,60,591,152
bigly,55,461,189
bigos,41,341,170
bigot,48,375,170
bijou,57,552,193
biked,51,283,118
biker,45,280,120
bikes,41,279,112
bikie,46,425,180
bilbo,48,403,189
bilby,56,522,189
biled,39,151,88
biles,29,147,75
bilge,45,415,189
bilgy,55,494,189
bilks,46,364,165
bills,34,260,78
billy,45,299,94
bimah,53,376,177
bimas,38,226,138
bimbo,56,379,156
binal,38,166,150
bindi,45,288,152
binds,40,269,118
biner,35,129,88
bines,31,128,65
binge,47,232,99
bingo,49,249,102
bings,46,279,72
bingy,57,311,109
binit,42,248,161
binks,48,260,100
bints,37,197,97
biogs,41,505,180
biome,40,392,167
biont,40,356,168
biota,34,352,173
biped,46,278,141
bipod,48,422,186
birch,53,378,178
birds,36,369,150
birks,44,360,135
birle,33,335,164
birls,32,374,147
biros,29,201,128
birrs,30,356,159
birse,27,238,138
birsy,37,361,158
birth,48,342,159
bises,23,142,110
bisks,40,286,159
bisom,39,306,180
bison,33,227,166
bitch,56,361,134
biter,34,162,80
bites,30,161,80
bitos,32,219,163
bitou,41,246,164
bitsy,40,302,134
bitte,37,289,152
bitts,36,293,145
bitty,47,363,132
bivia,50,481,189
bivvy,75,673,191
bizes,45,392,147
bizzo,69,653,185
bizzy,77,675,174
blabs,42,381,144
black,55,295,106
blade,36,225,117
blads,35,268,121
blady,46,319,144
blaer,30,290,155
blaes,26,289,154
blaff,63,425,142
blags,41,338,142
blahs,40,458,155
blain,38,191,108
blame,40,206,91
blams,39,286,117
bland,43,234,91
blank,51,248,86
blare,30,139,63
blart,36,249,85
blase,26,157,77
blash,40,196,90
blast,32,158,70
blate,33,178,78
blats,32,182,94
blatt,39,293,114
blaud,44,355,143
blawn,53,418,133
blaws,45,399,134
blays,36,399,120
blaze,48,389,120
bleak,44,268,110
blear,30,165,70
bleat,33,194,93
blebs,41,446,156
blech,51,292,146
bleed,35,173,105
bleep,38,307,115
blees,25,169,109
blend,42,244,121
blent,39,223,102
blert,35,247,121
bless,24,268,91
blest,31,148,55
blets,31,208,125
bleys,35,405,141
blimp,55,366,128
blimy,53,402,147
blind,46,256,114
bling,52,222,77
blini,41,257,132
blink,54,270,100
blins,36,212,100
bliny,47,310,133
blips,41,369,153
bliss,28,318,147
blist,35,198,116
blite,36,216,116
blits,35,220,119
blitz,57,413,156
blive,50,345,125
bloat,35,298,149
blobs,43,427,161
block,56,362,138
blocs,38,475,168
blogs,42,382,146
bloke,45,306,134
blond,44,254,137
blood,39,284,131
blook,47,294,115
bloom,43,268,129
bloop,42,272,121
blore,31,165,116
blots,33,223,132
blown,54,389,129
blows,46,370,125
blowy,57,418,155
blubs,49,511,165
blude,43,368,163
bluds,42,411,160
bludy,53,462,175
blued,43,349,153
bluer,37,346,154
blues,33,345,149
bluet,40,403,158
bluey,44,460,160
bluff,70,514,143
bluid,47,432,173
blume,47,313,143
blunk,58,355,133
blunt,47,320,128
blurb,53,421,157
blurs,36,297,131
blurt,43,348,155
blush,47,297,138
blype,48,441,181
boabs,39,417,178
boaks,40,320,173
board,36,311,141
boars,26,234,125
boart,33,285,138
boast,29,194,131
boats,29,218,129
bobac,51,310,172
bobak,57,339,177
bobas,39,243,143
bobby,65,528,156
bobol,46,271,165
bobos,40,256,162
bocca,46,428,181
bocce,45,467,188
bocci,49,544,187
boche,48,253,140
bocks,50,310,103
boded,41,188,139
bodes,31,184,117
bodge,47,412,159
bodhi,50,447,194
bodle,37,380,185
boeps,34,426,177
boets,28,290,168
boeuf,49,583,197
boffo,61,493,180
boffs,58,484,146
bogan,46,241,163
bogey,48,353,173
boggy,63,484,154
bogie,42,363,171
bogle,43,324,161
bogue,46,443,173
bogus,45,342,170
bohea,38,324,163
bohos,38,312,173
boils,31,256,139
boing,49,237,110
boink,51,285,133
boite,33,231,144
boked,49,213,103
bokeh,54,416,147
bokes,39,209,97
bokos,41,340,181
bolar,32,103,125
bolas,28,110,118
bolds,36,317,149
boles,27,100,78
bolix,55,306,164
bolls,32,213,94
bolos,29,139,142
bolts,33,252,141
bolus,35,211,161
bomas,36,176,130
bombe,52,336,164
bombo,54,329,152
bombs,51,430,162
bonce,41,298,148
bonds,38,225,124
boned,39,88,91
boner,33,85,95
bones,29,84,72
boney,40,199,118
bongo,47,205,129
bongs,44,235,99
bonie,34,221,161
bonks,46,216,118
bonne,37,231,156
bonny,47,358,137
bonus,37,268,172
bonza,52,453,180
bonze,51,387,179
booai,30,249,170
booay,36,306,172
boobs,40,358,153
booby,51,376,162
boody,44,306,142
booed,34,247,150
boofy,53,444,149
boogy,50,345,167
boohs,38,435,170
books,41,242,122
booky,52,309,128
bools,29,167,126
booms,37,280,142
boomy,48,325,146
boong,47,151,111
boons,31,141,109
boord,37,232,133
boors,27,155,132
boose,24,117,104
boost,30,118,137
booth,45,204,123
boots,30,154,112
booty,41,224,135
booze,46,377,143
boozy,56,464,164
boppy,57,450,155
borak,44,175,117
boral,32,78,106
boras,26,79,88
borax,50,242,128
borde,35,229,146
bords,34,272,122
bored,35,72,60
boree,26,104,71
borel,31,93,109
borer,29,69,93
bores,25,68,56
borgo,43,317,149
boric,41,140,117
borks,42,263,118
borms,38,345,135
borna,34,263,148
borne,33,233,142
boron,35,93,126
borts,31,195,113
borty,42,265,131
bortz,53,388,139
bosie,26,242,168
bosks,38,233,160
bosky,49,300,165
bosom,37,253,177
boson,31,174,163
bossy,31,347,148
bosun,37,257,179
botas,29,141,139
botch,54,322,144
botel,34,147,131
botes,28,122,92
bothy,53,335,161
botte,35,250,151
botts,34,254,144
botty,45,324,131
bouge,46,312,163
bough,60,411,151
bouks,47,325,163
boule,36,183,134
boult,42,318,150
bound,47,236,135
bouns,37,192,151
bourd,43,269,142
bourg,49,300,144
bourn,41,278,139
bouse,30,153,127
bousy,40,276,160
bouts,36,209,119
bovid,56,401,190
bowat,49,219,167
bowed,51,204,113
bowel,47,225,127
bower,45,201,125
bowes,41,200,143
bowet,48,258,143
bowie,46,285,165
bowls,46,357,151
bowne,49,312,150
bowrs,44,368,176
bowse,41,287,146
boxed,55,373,149
boxen,53,387,165
boxer,49,370,156
boxes,45,369,133
boxla,52,462,192
boxty,62,529,191
boyar,37,355,172
boyau,42,438,180
boyed,42,339,158
boyfs,50,569,192
boygs,47,545,193
boyla,39,381,179
boyos,34,405,187
boysy,42,507,186
bozos,45,441,195
braai,30,362,152
brace,36,277,100
brach,50,212,100
brack,53,276,86
bract,42,374,116
brads,33,249,106
braes,24,270,140
brags,39,319,120
braid,38,235,100
brail,34,201,88
brain,36,172,82
brake,42,260,87
braks,41,265,129
braky,52,332,134
brame,38,187,69
brand,41,215,65
brane,32,142,54
brank,49,229,60
brans,31,171,47
brant,38,194,45
brash,38,177,80
brass,23,259,76
brast,30,139,60
brats,30,163,67
brava,46,358,122
brave,45,268,79
bravi,49,348,121
bravo,47,391,133
brawl,49,415,128
brawn,51,399,118
braws,43,380,119
braxy,58,499,150
brays,34,380,103
braza,47,436,138
braze,46,370,106
bread,34,209,112
break,42,248,118
bream,38,186,117
brede,33,142,91
breds,32,185,98
breed,33,153,92
breem,37,249,116
breer,27,150,94
brees,23,149,96
breid,37,308,155
breis,27,265,144
breme,37,242,134
brens,30,180,108
brent,37,203,96
brere,27,117,111
brers,26,176,94
breve,44,312,129
brews,42,416,142
breys,33,385,157
briar,32,242,141
bribe,44,362,145
brick,56,270,99
bride,37,223,102
brief,46,368,126
brier,31,193,107
bries,27,192,108
brigs,42,371,147
briki,49,389,159
briks,44,311,152
brill,38,238,100
brims,40,329,129
brine,35,155,78
bring,50,194,77
brink,52,242,100
brins,34,184,100
briny,45,282,133
brios,29,322,153
brise,27,169,90
brisk,44,268,112
briss,26,290,108
brith,48,242,126
brits,33,192,109
britt,40,303,132
